coucode,indcode,hrisk,emp_needed,tele,emp_share
1,1,0.641777001392644,0.694860191710962,0.0763940587639809,0.0250573905924527
1,2,0.114719233369632,0.153878236428094,0.254480451345444,0.0190002416756561
1,3,0.534374577558078,0.689340583950019,0.224803254008293,0.0203793186668439
1,4,0.12638195092983,0.163032096797762,0.224803254008293,0.00289412288132343
1,5,0.058464812669007,0.0754193215739227,0.224803254008293,0.0039797666814156
1,6,0.162691734341897,0.209871539300343,0.224803254008293,0.0124643777079454
1,7,0.150561378393597,0.194223439626264,0.224803254008293,0.000971507476982859
1,8,0.475593316880571,0.613513045997305,0.224803254008293,0.00426713058501946
1,9,0.120395188314336,0.155309202388762,0.224803254008293,0.00257438944443007
1,10,0.0720349509716526,0.0929247334229952,0.224803254008293,0.00259698068120503
1,11,0.100864853782413,0.130115166638602,0.224803254008293,0.0101952228469561
1,12,0.126312745971889,0.162942822741468,0.224803254008293,0.00517137012563509
1,13,0.130067279198104,0.167786152187351,0.224803254008293,0.00404163969556791
1,14,0.0713781851170623,0.0920775086920011,0.224803254008293,0.00688400504189199
1,15,0.082767205364018,0.106769288947587,0.224803254008293,0.00806953919861971
1,16,0.391977070556126,0.622201018617858,0.370015382766724,0.0119512700279111
1,17,0.0467063807927785,0.0573506082565158,0.185599207878113,0.0877735299321664
1,18,0.109820711469011,0.128210634584508,0.14343523979187,0.0231744784437875
1,19,0.132485634511601,0.274611537021998,0.517552554607391,0.0306343071364621
1,20,0.301419532450152,0.35189345447379,0.14343523979187,0.0932104313855669
1,21,0.0522489007269008,0.0541644779542409,0.0353659316897392,0.0700824841458831
1,22,0.167084047225327,0.205299480888013,0.186144813895226,0.0243047146478123
1,23,0.134983487599292,0.16585688695472,0.186144813895226,0.000798448487807518
1,24,0.28235054857358,0.346929715991551,0.186144813895226,0.00451630855482088
1,25,0.154574738160235,0.189929044871055,0.186144813895226,0.012043573775182
1,26,0.163063258262474,0.57632248419882,0.717062473297119,0.0161173301170605
1,27,0.142116411110339,0.59720321874261,0.762030065059662,0.0330424655401451
1,28,0.0448629101973096,0.0770984498685115,0.4181087911129,0.0143292505854544
1,29,0.0524730742448896,0.266033066406587,0.802757322788239,0.124749568132262
1,30,0.536762110284415,0.917191053746382,0.414776116609573,0.0620249149309277
1,31,0.0028088223198093,0.0161859078993904,0.826464951038361,0.078681484382501
1,32,0.74160810340781,0.992146460067677,0.252521544694901,0.124429750399709
1,33,0.0939742383772719,0.13376992909157,0.297493547201157,0.0417448965511021
1,34,0.0156648103761407,0.0227802353209188,0.312350809574127,0.0178437895214932
2,1,0.565652485274586,0.612439201633544,0.0763940587639809,0.0441631584002774
2,2,0.127518099845558,0.171045950539715,0.254480451345444,0.00150170200703293
2,3,0.510518811086456,0.658566762213831,0.224803254008293,0.0192808229608128
2,4,0.107598033270507,0.138800935152091,0.224803254008293,0.0047581228959187
2,5,0.068799552681602,0.0887510854984136,0.224803254008293,0.00763501847257461
2,6,0.165013291147392,0.212866336192228,0.224803254008293,0.0133044706676131
2,7,0.0826800413467613,0.106656847792864,0.224803254008293,0.000285815358592851
2,8,0.529437130440163,0.682971301386018,0.224803254008293,0.00752256652821021
2,9,0.129795891176392,0.167436062970497,0.224803254008293,0.00702590377393411
2,10,0.0761329767417397,0.0982111665656478,0.224803254008293,0.00751319553284651
2,11,0.0971690522897914,0.125347600840975,0.224803254008293,0.0258803464456986
2,12,0.0745174830521203,0.096127187630013,0.224803254008293,0.0186787365086951
2,13,0.0873767270014415,0.112715549250224,0.224803254008293,0.0152231819683307
2,14,0.0332394889357935,0.0428787776879408,0.224803254008293,0.00892118758624244
2,15,0.132058848843821,0.170355267261705,0.224803254008293,0.0176010720418696
2,16,0.326123357729356,0.517668763344734,0.370015382766724,0.0119784748236496
2,17,0.0511201548379612,0.0627702665965854,0.185599207878113,0.0697272337524511
2,18,0.0510836244746526,0.0596377843774944,0.14343523979187,0.0191543145234029
2,19,0.119478903422702,0.247651644886361,0.517552554607391,0.0492398951385619
2,20,0.179382167759917,0.209420438585788,0.14343523979187,0.0875040119573901
2,21,0.0307578316889787,0.0318854918143798,0.0353659316897392,0.0672040932507749
2,22,0.111324629665777,0.136786779228615,0.186144813895226,0.0285604511197168
2,23,0.104311001260949,0.128168994978328,0.186144813895226,0.000124165688569026
2,24,0.113640669065379,0.139632542749134,0.186144813895226,0.00175237613301191
2,25,0.120491833760656,0.148050704619021,0.186144813895226,0.0122970886660154
2,26,0.192586112716801,0.68066655901407,0.717062473297119,0.00962401223851994
2,27,0.137824206332725,0.579166466416351,0.762030065059662,0.0305189891507301
2,28,0.0590963172180705,0.10155904800675,0.4181087911129,0.0139042143708899
2,29,0.0379252843064528,0.192277274079665,0.802757322788239,0.131149422863823
2,30,0.572680598106294,0.978566689364309,0.414776116609573,0.0590911540146516
2,31,0.00191094672718721,0.011011877650201,0.826464951038361,0.0599345435973846
2,32,0.744926996934538,0.996586579382385,0.252521544694901,0.102071224250262
2,33,0.0266915069203239,0.0379946786452747,0.297493547201157,0.0444747439961204
2,34,4.95381545516643e-08,7.20398645724929e-08,0.312350809574127,0.00239428931542536
3,1,0.590562627942339,0.63940973263123,0.0763940587639809,0.0129895819596466
3,2,0.134614090869941,0.180564132909566,0.254480451345444,0.000527495714097323
3,3,0.381948339101076,0.492711483989075,0.224803254008293,0.0209239966591938
3,4,0.0727123174719296,0.0937985328858791,0.224803254008293,0.00534089410523539
3,5,0.0574856916577322,0.0741562602719532,0.224803254008293,0.00272539452283617
3,6,0.160128410489708,0.206564864104087,0.224803254008293,0.0111433469603059
3,7,0.130285172182245,0.168067233068131,0.224803254008293,0.000967075475845092
3,8,0.556073887807523,0.717332587736987,0.224803254008293,0.0149237329113368
3,9,0.0955865294759952,0.123306154173431,0.224803254008293,0.00490131434348763
3,10,0.0592503413661048,0.0764326497401714,0.224803254008293,0.00595630577168227
3,11,0.0803104148713283,0.103600041262541,0.224803254008293,0.0189239087432415
3,12,0.113527355623047,0.146449731903624,0.224803254008293,0.00720910809266341
3,13,0.121226257618301,0.156381277714494,0.224803254008293,0.00591234779550749
3,14,0.0879306556162306,0.11343011444629,0.224803254008293,0.00916523803244099
3,15,0.196085698146771,0.252949588811701,0.224803254008293,0.00945096487757704
3,16,0.495945027908989,0.787233551966786,0.370015382766724,0.0111653259483933
3,17,0.0418452022625589,0.0513815834504937,0.185599207878113,0.0588377511099389
3,18,0.0764247355436,0.0892223671740011,0.14343523979187,0.0157369554705701
3,19,0.0756000889039584,0.156701190204119,0.517552554607391,0.044243703019913
3,20,0.257187478649975,0.300254564041934,0.14343523979187,0.0670798716427096
3,21,0.0790027690569325,0.0818992109570843,0.0353659316897392,0.0326168183216845
3,22,0.202735880626494,0.249105595304758,0.186144813895226,0.0236713701701174
3,23,0.196644651609981,0.241621181467369,0.186144813895226,0.000813222559233373
3,24,0.17489002247505,0.2148908374131,0.186144813895226,0.0011429073805442
3,25,0.126315937478143,0.155206896306342,0.186144813895226,0.0204184799331839
3,26,0.18842375416751,0.665955330716444,0.717062473297119,0.0136269726141808
3,27,0.144929696206469,0.60902523775873,0.762030065059662,0.0275396720734977
3,28,0.0488044198721302,0.0838720694293894,0.4181087911129,0.0055167260099345
3,29,0.05281860362125,0.267784864654537,0.802757322788239,0.198514220405293
3,30,0.573466596201945,0.979909761849828,0.414776116609573,0.0946195437162073
3,31,0.00224758566403413,0.0129517678272069,0.826464951038361,0.0835201547320761
3,32,0.745318881221881,0.997110854409393,0.252521544694901,0.127390214954504
3,33,0.0623584599669548,0.0887656757009329,0.297493547201157,0.0350345070112972
3,34,0.000455045116331154,0.00066174020513183,0.312350809574127,0.00745087696162469
4,1,0.837987218008108,0.907299510099154,0.0763940587639809,0.179366393173978
4,2,0.189684315408446,0.25443238309548,0.254480451345444,0.00748818167173101
4,3,0.730579404307755,0.942443848075145,0.224803254008293,0.0322358443924741
4,4,0.15598050270097,0.201214083402046,0.224803254008293,0.0444819100418294
4,5,0.103600238417963,0.133643799401437,0.224803254008293,0.00699378392040752
4,6,0.162771613709288,0.209974583292471,0.224803254008293,0.0104323480560169
4,7,0.159242323190778,0.205421815834714,0.224803254008293,0.000819367059777688
4,8,0.579620474338515,0.747707568866286,0.224803254008293,0.0080964575567863
4,9,0.223769807087761,0.288661953555407,0.224803254008293,0.00975185676908292
4,10,0.114862406958366,0.148171941577777,0.224803254008293,0.00712710466233745
4,11,0.135763975981437,0.175134863095632,0.224803254008293,0.0210257920085325
4,12,0.0561971996539476,0.0724941119071065,0.224803254008293,0.0102073693040102
4,13,0.146705364841138,0.189249201057286,0.224803254008293,0.00946577267702495
4,14,0.0531608915985677,0.0685772894087153,0.224803254008293,0.00644661337540344
4,15,0.144338782762423,0.186196321783796,0.224803254008293,0.0176844409139137
4,16,0.41585493660476,0.660103318762105,0.370015382766724,0.0188871051067399
4,17,0.102153383010775,0.125433796232711,0.185599207878113,0.0475927273535277
4,18,0.104508269282902,0.122008602428973,0.14343523979187,0.015526311403923
4,19,0.317588022560139,0.658285219650589,0.517552554607391,0.0453096096479777
4,20,1.32455769388803,1.54636024667439,0.14343523979187,0.0899109528544526
4,21,0.00920513579280055,0.0095426194193256,0.0353659316897392,0.0405711682785515
4,22,0.240674844922776,0.295721952789513,0.186144813895226,0.0342495430987074
4,23,0.241657392066052,0.296929227941224,0.186144813895226,0.00288583855969159
4,24,0.0935748778090953,0.11497730727374,0.186144813895226,0.000808256997950194
4,25,0.235275872857918,0.289088128791046,0.186144813895226,0.00970463900631607
4,26,0.223518439813715,0.789992202230697,0.717062473297119,0.0114572512596033
